sex,age_cat,race,c_charge_degree,age,priors_count,juv_fel_count,juv_misd_count,juv_other_count,two_year_recid
Male,Greater than 45,Other,F,69,0,0,0,0,0
Male,25 - 45,African-American,F,34,0,0,0,0,1
Male,Less than 25,African-American,F,24,4,0,0,1,1
Male,Less than 25,African-American,F,23,1,0,1,0,0
Male,25 - 45,Other,F,43,2,0,0,0,0
Male,25 - 45,Other,M,44,0,0,0,0,0
Male,25 - 45,Caucasian,F,41,14,0,0,0,1
Male,25 - 45,Other,F,43,3,0,0,0,0
Female,25 - 45,Caucasian,M,39,0,0,0,0,0
Male,Less than 25,Caucasian,F,21,1,0,0,0,1
Male,25 - 45,Caucasian,F,27,0,0,0,0,0
Male,Less than 25,African-American,M,23,3,0,0,0,1
Female,25 - 45,Caucasian,M,37,0,0,0,0,0
Male,25 - 45,African-American,F,41,0,0,0,0,0
Female,Greater than 45,Caucasian,F,47,1,0,0,0,1
Male,25 - 45,African-American,F,31,7,0,0,0,1
Male,25 - 45,Hispanic,M,37,0,0,0,0,0
Male,25 - 45,African-American,F,25,3,0,0,0,0
Male,25 - 45,Caucasian,F,31,6,0,0,0,1
Male,25 - 45,Caucasian,F,31,5,0,0,0,1
Male,Greater than 45,African-American,F,64,13,0,0,0,1
Male,Less than 25,African-American,F,21,1,0,0,0,1
Male,25 - 45,Caucasian,M,27,0,0,0,0,1
Female,Less than 25,Caucasian,F,21,0,0,0,0,0
Male,Less than 25,Hispanic,F,24,1,0,0,0,1
Male,25 - 45,Caucasian,M,43,1,0,0,0,0
Male,25 - 45,Other,M,32,0,0,0,0,0
Male,25 - 45,African-American,F,27,8,0,0,0,1
Female,25 - 45,Caucasian,F,36,3,0,0,0,0
Male,25 - 45,African-American,F,26,5,0,0,1,1
Male,25 - 45,African-American,F,33,0,0,0,0,1
Male,25 - 45,Caucasian,F,30,9,0,0,0,1
Male,25 - 45,African-American,F,32,4,0,0,0,1
Male,Greater than 45,Caucasian,F,55,0,0,0,0,0
Male,Greater than 45,Other,F,49,7,0,0,0,1
Male,25 - 45,Caucasian,M,26,6,0,0,2,0
Female,25 - 45,Caucasian,M,33,4,0,0,0,1
Male,Less than 25,Caucasian,M,24,1,0,0,0,1
Male,25 - 45,African-American,F,34,21,2,1,3,1
