model_name,mitigation_status,dataset,training_time,inference_time,peak_memory_mb,accuracy,precision,recall,f1_score,roc_auc,demographic_parity_difference,equalized_odds_difference,equal_opportunity_difference,disparate_impact_ratio,performance_score,fairness_score,training_time_score,inference_time_score,efficiency_score,total_score,rank
decision_tree_Tuned,unmitigated,extended,0.5,0.0022699832916259766,15.0,0.6753036437246963,0.6885245901639344,0.5231316725978647,0.5945399393326593,0.7159185249031003,0.45553822152886114,0.629080118694362,0.629080118694362,0.0,0.6591975086427659,0.45769082988838844,1.0,0.991717286004294,0.995858643002147,0.6459270640128911,1
logistic_regression_Tuned,unmitigated,extended,0.5,0.001871347427368164,15.0,0.6923076923076923,0.6961206896551724,0.5747330960854092,0.6296296296296297,0.7339831212026673,0.5179407176287052,0.712166172106825,0.712166172106825,0.0,0.6818393592832686,0.3849465551322349,1.0,1.0,1.0,0.6267143657662014,2
random_forest_Tuned,unmitigated,extended,0.5,0.011627912521362305,15.0,0.6995951417004048,0.7036247334754797,0.5871886120996441,0.6401551891367604,0.7360427363533972,0.5460218408736349,0.744807121661721,0.744807121661721,0.0,0.6890526748619099,0.354585518732322,1.0,0.7972815657103567,0.8986407828551783,0.5971834340087285,3
catboost_Tuned,unmitigated,extended,0.5,0.002529144287109375,15.0,0.7004048582995951,0.700836820083682,0.5960854092526691,0.6442307692307693,0.7420946735549645,0.5413416536661466,1.0,1.0,0.0,0.6918905946300212,0.2293291731669267,1.0,0.9863325311518224,0.9931662655759113,0.5671211602339614,4
RandomForest_Baseline,unmitigated,baseline,1.214035987854004,0.032814979553222656,1.2021293640136719,0.6354816354816355,0.6043771043771043,0.5523076923076923,0.5771704180064309,0.6693811232903288,0.2017505055611729,0.6111111111111112,0.6111111111111112,0.599761800288347,0.6247681678008128,0.5935691916638579,0.0,0.3570642336359431,0.17853211681797154,0.5230413671494626,5
lightgbm_Tuned,unmitigated,extended,0.5,0.0037987232208251953,15.0,0.7101214574898785,0.7056451612903226,0.6227758007117438,0.6616257088846881,0.7386853362804249,0.8571428571428572,1.0,1.0,0.14285714285714285,0.7012855086664307,0.0714285714285714,1.0,0.9599536722839188,0.9799768361419594,0.5050809992663927,6
RandomForest_Extended,unmitigated,extended,1.06571626663208,0.02625894546508789,1.0280418395996094,0.6388663967611335,0.6137254901960785,0.5569395017793595,0.5839552238805971,0.685714361254911,0.5304212168486739,0.685459940652819,0.685459940652819,0.0,0.631762637795728,0.3920594212492535,0.20772023223603986,0.4932831746969032,0.3505017034664715,0.47962916431128694,7
xgboost_Tuned,unmitigated,extended,0.5,0.005476474761962891,15.0,0.7060728744939271,0.7026476578411406,0.6138790035587188,0.6552706552706553,0.7390885343683407,1.0,1.0,0.744807121661721,0.0,0.6974353407018282,0.0,1.0,0.9250939483677802,0.9625469741838901,0.47148353111750935,8
random_forest_Mitigated,mitigated,extended,1.0,0.05,12.0,0.671255060728745,0.6748878923766816,0.5355871886120996,0.5972222222222222,0.0,0.425531914893617,1.0,1.0,0.0,0.5147941970310391,0.2872340425531915,0.29975518250456445,0.0,0.14987759125228223,0.35078681408414875,9
logistic_regression_Mitigated,mitigated,extended,1.0,0.05,12.0,0.668825910931174,0.6440677966101694,0.608540925266904,0.62580054894785,0.0,0.46808510638297873,1.0,1.0,0.0,0.522153120149942,0.26595744680851063,0.29975518250456445,0.0,0.14987759125228223,0.3452197450338375,10
xgboost_Mitigated,mitigated,extended,1.0,0.05,12.0,0.668825910931174,0.659043659043659,0.5640569395017794,0.6078619367209971,0.0,0.46808510638297873,1.0,1.0,0.0,0.5167715364818861,0.26595744680851063,0.29975518250456445,0.0,0.14987759125228223,0.3430671115666152,11
